Position,Job_Details
"
              Korea Treasurer","Strategically drive complex business comprising multiple legal entities and lines of business forward through insightful treasury support. Lead and set the vision for a complex team on short-term and long-term goals. Responsible for Treasury activities supporting Korea and other markets including cash flow, liquidity planning, treasury operations, capital markets, bank relationship, insurance activities, FX exposure, risk management (dealers, suppliers), pension oversight and auto finance activities (wholesale and retail). Lead or support other cross functional initiatives including M&A, divestitures, new business/process setups and other market strategic initiatives as needed.
Key Responsibilities:Develop and Drive Cash FlowManage liquidity, funding and cash repatriation Support Risk Management initiatives (Exposures, Bank Accounts/ Portals, AR and AP risk management)Support supply chain finance with financing initiatives for suppliersManage day to day cash operations team Manage documentary credit for significant sales to high exposure marketsSupport business budget – EBIT and FCF including cost savings commitment and Finance cost targetsSupport legal entity restructuring, regional/strategic initiativesLead retail and wholesale financing initiatives with external banksFX exposures – reporting and optimization decision supportDrive analysis, recommendation and management of optimal funding structure for significant pension exposureMaintain strong control environment (as applicable) – zero tolerance policySupport corporate governance; BOD and minority shareholder support interfacingLead, develop and motivate team; drive optimal people and cost structure
Qualification & Requirements:Knowledge: Strong Finance and Treasury knowledge and experience, sound understanding of financial statements, ability to lead complex projects cross-functionallySkills: Strong leadership skills in developing talent and managing teams, being able to put solid analysis and recommendation for senior leaders, conflict management, structured and clear communication (verbal and written)Experience: Minimum of 6-year experience in financial positions w/similar responsibilities ideally in a MNC in Korea or abroad. Treasury/capital markets/cash flow experience mandatory; Operating finance experience (FP&A/Commercial finance, Supply chain finance, manufacturing etc.) a strong plusCompetencies: High Integrity and focus on control and compliance, ability to manage multiple demands from various stakeholders, self-driven, sense of urgency and resilience, leading with Influence, strategy development, relationship management, analytical thinking; Fluent English and Korean is mandatory
Major:Advanced Degree in Economics, Finance, Business Administration, Accounting or related areas/Master preferred
Location:Incheon (Bupyeong, HQ)"
"
              Senior Customer Success Manager","Company Description

At Infobip we dream big. Last year, over half of the world’s population interacted with businesses through the Infobip platform. It didn’t happen by chance: through 60+ offices on 6 continents, we are truly committed to helping our 200 000 enterprise clients reach and engage mobile users. Join us in driving the continuous success of Infobip by creating products that our customers love.

As a Senior Customer Success Manager, you will have the opportunity to work with big accounts operating on a global scale. Our best customer success managers are excellent communicators with amazing analytical skills which allow them to ensure service quality and client satisfaction.

Job Description

 You know you are doing a good job when:
You are in contact with all the key accounts in your assigned market and have a great relationship with them.You understand your client’s business, knowing exactly which products can help client to evolve their business. You are not afraid of reviewing product adoption and providing guidance to clients on how they can realize more value from the subscription.You understand client’s success metrics and constantly work on delivering those metrics.Clients, with whom you cooperate, are satisfied and they show it by stable and/or increased usage of service. They are our advocates.Independently you can lead every aspect of the post-sale relationship, onboarding, training, demonstration, regular check-ins, support and renewals.You can lead clients’ meetings and you do not back out when in contact with high-level roles (Vice Presidents, Heads of departments, COO, CTO, etc.)You have necessary skills for organization, identification and prioritization of clients’ feedback and inquiry. You have an excellent overview of the business and are up-to-date with the latest industry trends as well as the competition.You enjoy collaborating with other internal departments to achieve results as a high performing, inter-dependent team.You enjoy assisting other team members to define the best client strategy.

Qualifications

More about you:
7 years and above of experience in Client Management or Relations in a Technology, eCommerce, Banking and Finance sector.Proven tracked record of up-selling and cross-selling of SaaS solutions in a customer facing role.Capable of managing projects with large scale clients from Technology, eCommerce, Banking and Finance in Seoul, Korea.Preferably with experience in contact center or customer engagement solutions.Experienced in driving client engagement, handling challenging situations and delivering exceptional client consultation service.Demonstrated the ability of decision making and problem solving based on careful analysis that is aligned with company strategies.Comfortable working with all levels of management across the organization.A positive and innovative mindset in driving creative solution selling.A team player with high integrity and meanwhile, able to work independently with minimum supervision.Excellent communication (both written and verbal), interpersonal and presentation skills.Experience in Salesforce would be an advantage.Bachelor's Degree in Business Management, IT, Engineering, Telecommunications or other related degree; or equivalent combination of education and experience.

Additional Information

What's in it for me?
Learning - Our sales managers go through an extensive training period and are considered experts in the industry.Great environment - Wonderful team spirit, creativity and persistence are the drivers of our company. We are a fast-growing international company and you will be in the centre of it all.Compensation - We strive to provide a competitive benefits package that meets the needs of our employees and our business model."
"
              Developer Advocate","Sendbird is the world's leading chat & messaging platform as a service in addition to voice and video. Our mission is to build connections in a digital world. We believe that digital doesn't have to mean impersonal, that physical boundaries shouldn't create relationship boundaries. We believe in authenticity over superficiality, and in conversations over text messages. We're a Y Combinator alumnus (W16) and have raised over $120M from leading investors including ICONIQ Capital, Tiger Global Management, Shasta Ventures, August Capital, and FundersClub. We are headquartered in San Mateo, CA, and also have offices around the world including Seoul, New York City, London, and Singapore.

As a Developer Advocate at Sendbird, you'll connect and collaborate with communities that love chat, voice, and video technology as much as we do. You'll interact with developers across the globe, advocate for their needs, and help enable Sendbird champions. Your work will foster community for developers integrating Sendbird APIs and will help drive strategy around developer relations. You'll focus on supporting developers who are learning to or are building applications on Sendbird's platforms, and help create momentum that results in successful adoption of our products.

What You Will Do
 Collaborate with our product, marketing, and engineering teams to accelerate the adoption of Sendbird products by conveying feedback from developers, reviewing APIs, and testing our products/new features Build community through the relationships you create with developers; speak externally on conference panels, meetups, and blog about Sendbird technologies and related vertical solutions  Be active in our community channels to help our free trial users, e.g. unblock technical problems, identify scaling issues, and help developers that are learning about Sendbird APIs  Be hands-on, write demos and sample code or client libraries, and work with Sendbird teams to facilitate and help organize initiatives for our developer community Record videos and conduct workshops that might appear on our YouTube channels, podcasts or other social media platforms 

Experience & Skills
 Bachelor's degree in Computer Science or equivalent practical experience A minimum of 4-6 years of experience as a software engineer, developer, or equivalent experience 3-5 years of experience in a technical consulting or client-facing capacity, e.g. solutions engineering, technical evangelist  B2B/Cloud development experience is a plus Experience with some of the following: JavaScript, Swift, Java, RESTful API, Mobile platform such as iOS, Android, React Native, Unity.  
BONUS POINTS
 Experience with large group communications and presentations including both technical and business audiences Track record of helping fellow developers Strong written and verbal English skills 
Finally, there is no such thing as a perfect candidate. SendBird is a place where everyone can learn and grow. We encourage you to apply if this role excites you.

At Sendbird, one of our core values is Global Citizenship. We respect, promote, and encourage diversity for equal employment opportunities. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal state, or local law."
"
              Video Editor (Korean/English)","Chimney is looking for an English and Korean speaking Video Editor to join us. You will get the chance to be a part of a dynamic team working with Netflix to create content for fans of Korean and Asian Dramas.
Who you areExtremely organized and able to thrive in a fast-paced, evolving environmentAmbitious, passionate, and willing to challenge the status quo to achieve excellenceHighly attuned to fan and internet culture, with a keen interest in Korean entertainment, dramas, and culture
What you'll doWork closely with writer-producers to understand and deliver to the edit briefEdit a range of videos including studio shoots, variety shows, behind the scenes footage, music videos, Korean drama compilations, highlights, and other editorial formats to serve our global k-drama fandomCreatively develop the channel, brainstorming new edit formats and styles to expand our Youtube offeringAssemble rushes and audio files, insert graphics, select library music, sound mix, color grade, and exporting them for review and uploadAddress feedback from team, client, talents, and workshop edit till ready for uploadEdit cutdowns for other social media channels, keeping in mind the creative best practices for each platform and ensuring consistency in style and visual qualityCollaborate with graphic and motion designers to make sure edit and visuals represent the channel, its vision, and appeal to the target audienceContinuously innovate to streamline workflow processes and improve efficiency, working through technical difficulties when the need arises
What you needAt least 3 years of experience as an editor in a post-production house, creative agency, or as part of a social media teamExcellent working knowledge of Adobe Creative Suite (PremierePro, After Effects, Photoshop)Ability to put together an edit that is original, entertaining, and brings out the best of talent and titleAble to translate client feedback and creative direction into actionable tasks, confident in applying written/spoken feedback to editHigh attention to detail, organization, and visual consistencyA systematic approach to edit workflow while retaining a level of flexibility to accommodate curveballsUncompromising with asset management and structure organizationPassionate about content creation and finds satisfaction in serving a wide audience baseInterest in Korean culture, dramas, and entertainmentWorking proficiency in both English and Korean, confident in editing rushes in Korean without the help of subtitles and communicating to the team and client in English
To apply, please send your CV, cover letter, and edit reel with the subject line ""Video Editor (EN/KR) - [your name]"" to jobs.apac@chimneygroup.com.
Please note that this is a six-month contract role. We are recruiting on a rolling basis and only shortlisted candidates will be notified.
Who we areChimney Vigor Group is a global, full-service award-winning Creation Studio, independently partner-owned by 30 co-workers, specializing in communications, production, entertainment, and MarTech. Think of us as an advertising and social media agency, production, and tech company — all rolled into one.  For over 20 years we have crafted award-winning stories (Oscar, BAFTA, Cannes Lion, Palme d’Or, Sundance, Berlinale, PromaxBDA) and delivered marketing and communications solutions for the world’s most recognized brands.  With offices in cities worldwide - San Diego, Los Angeles, New York, Stockholm, Gothenburg, Malmo, Helsinki, Warsaw, Berlin, Sydney, Singapore, and Seoul - our 400+ world-class talent bring diverse insight and craftsmanship to any given project, working in integrated workflows and using a powerful platform to interact with both local and multinational clients in order to deliver smart, cost-efficient and truly useful solutions, including production, live events, media buying, distribution, performance analytics, and strategy."
"
              PR & Marketing","We are looking for a high quality, ambitious, proactive PR & Marketing who will assist our marketing and development efforts in our Seoul Office. Each day you will face challenging tasks and will have to find creative solutions to bring the company to the next level. We are looking for highly energetic, fun, high quality, and eloquent candidates. We need someone who’s willing to learn, working hard to meet deadlines, develop lasting relationships in a high-quality manner, and grow along with the rest of the marketing team. We need someone who can contribute in providing important decisions. 

What You’ll Do
 Formulate corporate brand strategy and organize the implementation of brand promotion, marketing, and increase company awareness  Proposal , planning, organizing and executing online and offline monthly influence events  Write and maintain publicity contributions for each event, manage social media accounts, and media PR resources  Make full use of internal and external resources of the company, and strictly complete the objectives of each activity in accordance with the time node and quality  Keep up to date and maintain expertise on the virtual currency and payments industries 

What You’ll Need To Have
 Bachelor’s degree in English, Marketing, PR, Journalism, Media, Communications or similar is strongly preferred or relevant to marketing 2 years experience and proven track record in a marketing management role within the tech, gaming or payments industry  Self-starter who has good analytical skills, detail oriented, and possesses strong project management skills  Strong understanding of customers and industry market dynamics  Expert written and verbal communication skills in English  Strong project management skills demonstrating the ability to work with tight deadlines  Able to quickly grasp complex technical concepts and products and translate them easily into clear language  Flexible and open to changing priorities 

What You’ll Need To Be
 Should be a team player who's proactive, goal-oriented, and self-starter individual who takes pride in what they do  Self-driven, up for growth, and has the capabilities to bring Paymentwall to the next level  Entrepreneurial and curious with a commercial mindset  Super connectors who live on Facebook, Linkedin, Twitter and other social media outlets  Must have interest in the tech and payments industry and love the adrenaline of a startup culture and its community  Those with a travel experience and understanding of cultural differences around the world  Candidates should be available fulltime and able to start immediately"
"
              Customer Logistics Manager","Are you a dedicated individual who is passionate about customer happiness and fostering excellent relationships with key internal and external partners? We want YOU! Embark on your journey at the LEGO® Group as a Customer Logistics Manager.
We would like to hear about your amazing experience as a Customer Logistics professional who is driving improvements in the supply chain. Join our fun and outstanding Supply Chain Organization and be the incentive of change!
Core Responsibilities
 The person in the role is encouraged to drive opportunities to optimize the End to End Supply Chain from order placement to delivery on shelf, improving service to customers while balancing trade-offs on cash and cost. Build expertise and local knowledge of the market landscape, customer requirements towards the supply chain, including the key KPI’s important to customers. The person in the role will be the LEGO Group's Supply Chain “go-to” person for both external customers and internal partners. Build strategic partnerships at a senior level with key customers in the market (and in the regional market group where appropriate), in close collaboration with local sales and operations teams.
Play your part in our team succeeding
 Customer Logistics is the customer facing role of APAC Supply Chain Operations. The position exists to ensure the operational backbone in the supply chain is connected to the true needs of our LEGO customers in the market and with that, enable supply chain capabilities to deliver the right service. We unlock value for the LEGO Group by improving satisfaction on our service to customers. Customers in turn reward us with stronger partnership in delivering the LEGO Group's business growth eventually reaching more children to experience LEGO play. The toy industry and the Retail landscape in general, is fast evolving with channel and customer requirements having seismic shifts fueled by the digital economy. The LEGO Group is embracing these changes with a renewed channel strategy. With that, Customer Logistics play an important role in enabling supply chain solutions to support sales, improve service, cost, and cash.
Do you have what it takes?
 Minimum bachelor’s degree within supply chain, engineering, operations management, or business management Minimum 5 years experience working within an FMCG/Consumer Goods Supply Chain/Luxury brands Commercial/account management exposure, with a good knowledge of customer relationship management Proven track-record of collaboration and negotiation skills A good understanding of supply chain operations within a retail and/or toy specialist Clear understanding of logistics cost drivers and the trade-offs within the value chain Ability to work with a remote functional team and ability to thrive in a diverse, multi-cultural organization sitting across different geographies. Ability to navigate ambiguity and take judgment calls Strong communication and follow through skills Strong stakeholder management skills Previous experience in driving E-commerce initiatives Savvy in using data (e.g. PowerBI) to generate insights Takes initiative, recognizes and acts on opportunities Fluent in local language (South Korea) and advanced level in English
Join the global LEGO® family
Children are our role models. Their curiosity, creativity and imagination inspire everything we do. We strive to create a diverse, dynamic and inclusive culture of play at the LEGO Group, where everyone feels safe, valued and they belong.

The LEGO Group is proud to be an equal opportunity and an affirmative action employer. We are committed to equal employment opportunity regardless of race, colour, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.

We support our employees in being there for the moments that matter in life and celebrate families of all kinds, the loved ones that make us who we are. Being part of the LEGO Group also means taking part in our annual Play Day, playing a part in building a sustainable future and continuing our mission to “inspire and develop the builders of tomorrow.”

Build your career brick by brick at the LEGO Group.

“Customer Logistics is the bridge between our external customers and the LEGO supply chain to drive value across sales, service, cost, and cash.”"
"
              2020-2021 Campus Graduate - Product Development Research Specialist","The Dow Chemical Company has an exciting opportunity for right individual to fill the role of Product Development Research Specialist located in Jincheon. The Project Development Research Specialist as a member of the Dow Performance Silicone in Consumer Solutions organization, provides silicone base specialty product solution to targeted market and application such as consumer electronics, display, pressure sensitive adhesives. The key role of Product Development is technical problem solving and enhancement of formulation capability to develop differentiated product. The incumbent works closely with commercial team to explore new business opportunity and deliver innovative technical solution/product with scientific approach that would help customer success and sustainable growth aligning with business strategy. The position requires intimate knowledge of customer requirements and ability to match them to fundamental properties that our product can provide.

Job Description

Key Responsibilities 
Hold self to highest standards on safety, integrity within and outside of DowDevelop and commercialize new products for targeted customer and application using differentiated technical solution(new chemistry set, modification or development of curing chemistry and formulation)Validate the efficacy of new products by laboratory testing and larger scale trials at customers, using industry standard or customer specific end use test methods.Scientific understandings to ensure appropriate product specification setting to allow smooth project transfer to process engineering and manufacturing.Solve technical problems with scientific rigor.Work and interact with commercialization team and process R&D, Manufacturing team in commercialization project to deliver the innovation new product to customerEffective communication skills are necessary for working with the external customers, and to translate the market needs into product specifications and concepts.Work closely with regional and global technical experts and leverage technical expertise/specialtyDocumentation of technical report, paper and maintain a technical understanding of the literature and patentProtect intellectual property

Required Qualifications
Good understanding of basic knowledge in organic and polymer chemistryMaster/doctor degree with (<1yr working experience) in field of chemistry, chemical engineering, polymer or material scienceResearch experience in the application such as electronics, display and semi-conductor.Strong verbal, written and presentation skill in English and Korean both for interacting frequently with customer and global teamLead Design of experiment and formulating to meet technical targetApproach to literature and patent. Bring and adopt new technical idea to own development workBasic understanding on business and applicationSkillset for basic instrument and analytical tool which is used for mechanical property measurement and chemical analysis/material characterization(Rheometer, SEM, Microscope, Spectroscope, Chromatography etc)

Preferred Qualifications
Experience in leading program and project management experience is preferredKnowledge in materials used for Displays and Semi-conductor Fabrication can be advantage, but not critical requirement.Communication, interpersonal skills, and the ability to build networks will be essential to foster team success and accomplish the project objectives.Fluent in the English

Education
Master/PhD in Chemistry, Chemical Engineering and Polymer Science/Engineering is required

Dow Offers
A robust total rewards program, including: competitive base pay, variable pay that rewards individual, team, and Company performance, and comprehensive benefitsOn-going learning opportunities within a diverse, inclusive and rewarding work environment Career experiences that can span different Dow businesses and functions with opportunities for personal and professional growth The chance to work within a global company and interact with colleagues from around the world Opportunities that spark your imagination and ignite your passion to help others 

About Dow

Dow (NYSE: DOW) combines global breadth, asset integration and scale, focused innovation and leading business positions to achieve profitable growth. The Company’s ambition is to become the most innovative, customer centric, inclusive and sustainable materials science company. Dow’s portfolio of plastics, industrial intermediates, coatings and silicones businesses delivers a broad range of differentiated science-based products and solutions for its customers in high-growth market segments, such as packaging, infrastructure and consumer care. Dow operates 109 manufacturing sites in 31 countries and employs approximately 36,500 people. Dow delivered sales of approximately $43 billion in 2019. References to Dow or the Company mean Dow Inc. and its subsidiaries. For more information, please visit www.dow.com or follow @DowNewsroom on Twitter.
 

 

          직급
        

          신입
        




          업계
        


              화학
            

              기계·산업공학
            

              연구
            




        고용형태
      

        풀타임
      





          직종
        


              연구"
"
              Global business – Korean marketing manager","Job description: 1、Accelerate Korea Market growth. Drive growth by develop marketing plan at quarter base, align with the company strategy, deliver detail execution in line with timeline2、Manage CAC(customer acquisition cost) in line with VIPKID ’s business strategy. Optimize conversion rate from Leads to Paid students >15%, manage SEM and SEO projects, improve the conversion user experience3、Manage local agency to deliver quality work, keep monitor the traffic and CPA based on business objectives 4、Manage Customer Service team, fulfil customer service needs, monitor customers NPS – net promotion score, optimize the user experience by reflecting customer’s insights and painpoints, lead the projects to improve/5、Brand building and social media strategy and plan to build brand awareness6、Drive Referral project, improve Referral new students contribution in total growth7、Other business related Based on business needs and growth plan Requirements:English proficiency – Reading, Listening, Speaking and Writing5years experience on B2C marketing functions Strong experience on Digital channel, SEM and digital ad platformFast moving consumer goods / Online Retail/ Education industry are preferredStrong business acumenGood planning, drive for results"
"
              MR","Job Description

Job Purpose

To achieve agreed sales, productivity, performance targets and to grow market shares for defined products in a specific area.

Major Accountabilities
 Participate in building up team culture for winning spirits. Responsible for achievement of financial targets and operational plan Set up territory business plan and KPI, and try to achieve the objective with manager. Ensure annual expense budget is met and maintained within budget parameters. Set up and implement the field base strategy through the cooperation with marketing organization. Support marketing with up-to-date monthly product sales forecast is maintained within agreed accuracy parameters. Build up solid relationship with key customers and assist in identification/development of new product opportunities Implement the activities in Field according to the guide of SFE. Actively coach and partner with direct reports to build and implement their development plans and conduct performance appraisal discussions Develop and maintain close wholesaler relationships to ensure access to customers and sales Continually strive for competitive advantage, both current and future; build an in-depth knowledge of customer, competitor and market Build a “best in class” local generic sales organization that fully leverages all available Sandoz and Novartis (where applicable) marketing and sales systems and programs. Ensure the Sandoz Promotion Practices (SP3) are appropriately followed. Behave for the code of conduct and values of Sandoz. Ensure reporting and follow up of all spontaneous adverse events (AE) and technical complaints for all Sandoz products according to respective SOP


Key Performance Indicators
 Monthly Sales achievement & growing progress Formulary listing of hospital Monthly budget management monitor SFE Result Test for the knowledge through marketing & medical


Minimum Requirements

1. Education : 4 years university degree preferably majored in pharmacy, (bio)chemistry or life science
2. Languages: Good in both written and spoken English and Korean
3. Experience : 3-7 years of sales experience in Pharma industry

Division
SANDOZ

Business Unit
COMMERCIAL OPS APMA SZ

Country
South Korea

Work Location
Pusan

Company/Legal Entity

SDZ KOR

Functional Area
Sales

Job Type
Full Time

Employment Type
Regular

Shift Work
No

#SANDOZ"
"
              Supply Chain Manager, Korea","The Role

Our global supply management team is responsible for the sourcing, manufacturing development, along with the execution and production of parts specifically related to our vehicles, Tesla Energy, batteries and/or any other components intrinsic to the successful operation of the organization. We are looking for a highly skilled and motivated Supply Chain Manager to support our operations teams and contract manufacturing partners in the sourcing of Direct Supply Chain components and parts. This role will report to our Supply Chain Group Manager and in parallel be an active supply management resource supporting our various groups within Tesla.

She/he will be a member of our Supply Chain Organization supporting the development, implementation and management of strategies to provide Tesla with optimal supply assurance, pricing, flexibility, quality and delivery performance. The Supply Chain Manager will build and leverage strong working relationships with each Gigafactory Material Planning team and key suppliers to assure cost, quality, and delivery targets are met. They will work toward good supplier relationships and total costs of ownership to achieve maximum advantage for Tesla and our customers. Tesla is a fast moving, dynamic environment where flexibility and adaptability are key attributes needed for success. The successful candidate will be a self-starter and motivated with expertise in overall supply management.

Responsibilities
Responsible for the development, negotiation and management of existing and developing Tesla contract manufacturing partners.Develop, negotiate, and execute part and assembly cost strategy. Drive continual cost reduction and avoidance initiatives through ad hoc price negotiations.Lead the on-site management of contract manufacturing partners to manage the development builds, risk mitigation and ramp to meet Tesla’s Electronic Data Interchange (EDI) Evaluate technical and business risks using data-based analysis and developing sound risk mitigation alternatives. Oversee materials planning (Clear to build), inventory control, Excess & Obsolete (E&O) analysis and projections, New Product Material readiness, logistics readiness from Tier 2/3 companies supply Tier 1/2 companies with the parts. Lead all communications, upward and downward through the organization; raising key issues and options for resolution to the executive team. Influence product manufacturability, testability, and supply chain responsiveness in pursuit of low cost and flexibility, while stewarding quality. Develop key performance measures for chosen suppliers and negotiate on multiple variables to award longer-term strategic contracts that result in significant cost reduction and improved service levels. Manage respective supplier relationships and performance, including but not limited to dispute resolution. Executive management reporting. Build and maintain reports and summaries on a regular (weekly/daily) basis to support the business growth. Ensure data is accurate and on time.
Requirements
 8+ years of experience in Supply Chain Management. Knowledge of any of the following preferred: Mechanical subassemblies, enclosures, castings, plastics, grinding, stamping, CNC, mills, lathes, etc. (can be changed depends on assigned commodity) Solid communication skills with the ability to work in multinational environments. Driven and motivated by accomplishing world-class objectives. Experience in manufacturing, process engineering or product development Ability to multi-task, prioritize and work in an extremely fast-paced environment. Proficient with Microsoft Office applications, particularly Microsoft Excel. Results oriented and attention to detail. Strong interpersonal skills and ability to present to management. Understanding of costing concepts, cost reduction, modeling, etc. preferred. Ability to travel frequently"
"
              Global Market Analyst","What you will do and whom you will work with:The market analyst will work with Tridge Global Marketing Team to manage and execute both targeted online campaigns and content-driven marketing strategies to increase organic traffic and build the industry presence of Tridge. The right candidate will be proficient with both written and spoken English and has excellent skills in research and analytical writings. With exceptional communication skills, you are to persuade exporters around the world to collaborate with our platform and draw valuable insights within the industry. This role requires a brand publisher mindset: to create the content that our audience is looking for and then to optimize the path to conversion including enhancing the UX/UI of our services. Generate new insights around industry-related topics, interview relevant parties and write in-depth articles on a daily basis.Create relevant marketing content to promote our services to global buyers and suppliers.Provide assistance to the Marketing Team in coordinating and executing SEO and various online marketing strategies.Plan and execute the content marketing strategy to acquire buyers and suppliers in the agriculture industry Who you are:Required:BS Degree or higher and 2~3 years related experience Native or proficient level of written and spoken English, native KoreanOpen to new ideas, and comfortable giving and receiving constructive feedbackStrategic and logical thinking capabilityExcellent skills in analytical research and persuasive communication skills Preferred:Agricultural industry experience & Trading experienceExcellent writing and editing skills in EnglishProactive, hard-working and has a sense of responsibility to accomplish assigned tasksBasic understanding of SEO and keyword researchInterest in the agricultural, seafood and food industries 
Other information:채용형태: 정규직 (수습기간 3개월)근무위치: 서울특별시 서초구 방배로 226 넥센강남타워 5-6층지원서류: 이력서 및 경력기술서 (영문 우대)지원방법: 트릿지커리어(https://grnh.se/467d88083us)에 접속하여 지원

---“2조 달러 규모의 글로벌 시장에 침투하다!” “미국 VC가 기대하는 The Next Unicorn”
트릿지는 글로벌 B2B 무역 시장의 정보 비대칭을 해결하고 거래 상대방을 손쉽게 찾도록 도와주는 가장 빠르게 성장하고 있는 인텔리전스 플랫폼입니다. 2015년 설립 이후 전 세계 150개국 이상의 수입업체/수출업체들이 트릿지를 사용하여 거래 상대방을 발굴하고 있으며, 식품/농산 분야에서 유일무이한 글로벌 인텔리전스를 바탕으로 공격적인 속도로 고객 저변을 넓혀 나가고 있습니다. 이러한 성과와 성장 잠재력을 바탕으로 Softbank Ventures, 포레스트 파트너스, Activant Capital 등의 유수의 국내외 투자사로부터 약 225억원의 투자를 유치하였습니다.
트릿지는 다음과 같은 점에서 함께하는 팀원들에게 무한한 성장 가능성과 특별한 경험을 제공하는 회사입니다.
Unlimited Growth Opportunity트릿지가 혁신하고자 하는 분야는 약 $2조 규모에 달하는 식품 무역시장입니다. Cross-border trading의 특성상 로컬에서 서비스를 만들고 이를 다른 국가로 넓혀 나가는 개념이 아니라 초기 단계부터 전 세계의 사용자들을 대상으로 서비스를 구축해오고 있으며 이에 따른 서비스의 성장가능성은 무한대에 가깝습니다. 트릿지는 국내의 글로벌 향 스타트업 중 북미의 VC가 투자한 소수의 회사 중 하나이자 B2B 분야의 차세대 유니콘 기업으로 성장할 잠재력을 갖춘 회사로 높이 평가받고 있습니다.
Pursuing Truly Global트릿지의 본사는 서울이지만 달성하고자 하는 비전과 미션, 그리고 일상적인 업무 모두 글로벌 향입니다. 본사에만 8개국 출신의 다양한 외국인 동료들이 함께 일하고 있으며, Global Remote Working 시스템을 갖추고 40개국 이상의 현지인 직원들과 팀을 이루어 일하고 있습니다. 트릿지는 올해 말까지 Global staff를 100명 이상으로 확장하여 성장에 박차를 가할 예정입니다. 
Working with Top Talents그동안 존재 하지 않았던 새로운 서비스를 만들고 Global 스케일로 운영하기 위해 트릿지의 구성원들은 매일매일을 치열하게 고민합니다. 국내외 유수의 대학을 졸업한 (MIT, Stanford, 서울대, Cornell 등) 인재들과 소비재/금융/종합상사 등 다양한 업계의 professional들이 모여 트릿지의 비즈니스 모델을 만들어 나가고 있습니다. 트릿지에서는 회사의 발전을 위한 모두의 의견이 존중받으며 아이디어가 빠르게 실행에 옮겨지는 조직입니다. 뛰어난 동료들로부터 신선한 지적 자극을 받으며 하루하루 새로운 성취감을 느낄 수 있습니다.
Casual Working Environment트릿지는 평균 연령이 20-30대 초반으로 자율 복장과 회식의 최소화 등 자유롭고 수평적인 분위기를 추구하고 있습니다. 또한 스타트업의 특성상 업무를 빨리 습득하고 성과를 보다 빨리 보실 수 있는 기회를 가질 수 있습니다. 저희는 구성원 간의 대화를 굉장히 중요하게 여기기에 서로 피드백을 하며 같이 배우고 성장하길 원하시는 분을 찾고 있습니다.

Team Tridge는 다음과 같은 영역에서 성장하고 있습니다:Data-driven intelligence: +1 Billion 이상의 가격 포인트와 +10 Billion의 무역 데이터 접점 관리Global expansion: 40개 국가에서 근무 중인 90명 규모의 팀을 연내 150~200명으로 확장 계획 및 in-house 관리 소프트웨어 구축Trusted online reputation: Google SEO 최적화로 인한 다국적 기업, 컨설팅, 대학 등 100만 이상의 top tier business traffic 유입Cultural diversity: 다양한 국적의 사람들과 일하며 빠른 속도로 변화하는 수평적인 조직 문화 지향Trade digitalization: B2B 글로벌 무역시장의 디지털화 선도
Tridge Talent:팀 중심적인 마인드를 갖고 있는 사람스스로 목표를 높게 설정하고 달려가는 사람업무를 높은 수준으로 수행함으로써 개인적인 성장을 이뤄내는 사람불확실하고 빠르게 돌아가는 상황을 견디고 돌파할 수 있는 사람문제를 지적하기 보다 해결하는 사람업무에 대해 책임지는 사람 Perks and Benefit:성과에 따른 빠른 승진 및 보상제도자율적 업무환경직무 수행에 필요한 최신 장비/소프트웨어 제공업무관련 컨퍼런스/교육비 지원팀런치, 간식 및 저녁식사 제공종합검진 지원넓고 쾌적한 사무공간, 카페테리아, 라운지 및 휴게실 보유 (침대 및 안마의자)옥상정원 및 농구장 보유 (사내농구리그 진행)"
